timestamp_utc,experiment_id,window_id,switch_id,src_host,dst_host,protocol,application,window_seconds,packet_count,byte_count,flow_count,packet_rate,byte_rate,flow_rate,mean_packet_size,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_handshake_completion_ratio,flow_table_size,packet_in_count,controller_cpu_proxy_pct,attack_intensity,attacker_count,background_traffic_level,label,attack_family,data_source
2026-01-01T00:00:00+00:00,controlled_sdn_lab_v2,exp_00_000000,s3,c4,ntp,TCP,HTTP,10,1424,1547714,29,142.4,154771.4750363047,2.9,1086.878335929106,91,1399,0,15.373626373626374,63,57,10.7,0.0,0,0.2853990121162906,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:10+00:00,controlled_sdn_lab_v2,exp_00_000001,s1,c4,ssdp,TCP,HTTP,10,1721,1821178,20,172.1,182117.81891512786,2.0,1058.209290616664,144,1481,0,10.284722222222221,52,8,5.8,0.0,0,0.4790438700426869,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:20+00:00,controlled_sdn_lab_v2,exp_00_000002,s3,c1,ntp,TCP,HTTP,10,825,919459,32,82.5,91945.99400726505,3.2,1114.4968970577581,65,689,0,10.6,92,12,6.2,0.0,0,0.583754866217105,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:30+00:00,controlled_sdn_lab_v2,exp_01_000000,s3,a3,dns,UDP,UDP,10,21235,11857495,71,2123.5,1185749.5368172508,7.1,558.3939424616203,0,0,0,0.0,116,41,9.1,0.7,3,0.31857595943616535,UDP_FLOOD,VOLUMETRIC,controlled_profile
2026-01-01T00:00:40+00:00,controlled_sdn_lab_v2,exp_01_000001,s3,a4,dns,UDP,UDP,10,44349,20274771,213,4434.9,2027477.1427051977,21.3,457.1641170500344,0,0,0,0.0,381,441,49.1,0.7,1,0.1698762418046549,UDP_FLOOD,VOLUMETRIC,controlled_profile
2026-01-01T00:00:50+00:00,controlled_sdn_lab_v2,exp_01_000002,s3,a2,ssdp,UDP,UDP,10,15103,11520255,176,1510.3,1152025.5754479128,17.6,762.7792991113771,0,0,0,0.0,387,325,37.5,0.7,3,0.16989849906382873,UDP_FLOOD,VOLUMETRIC,controlled_profile
2026-01-01T00:01:00+00:00,controlled_sdn_lab_v2,exp_02_000000,s3,a3,ntp,ICMP,ICMP,10,10160,6087519,74,1016.0,608751.9348214561,7.4,599.1652901785985,0,0,0,0.0,179,146,19.6,0.7,1,0.2519750490313061,ICMP_FLOOD,VOLUMETRIC,controlled_profile
2026-01-01T00:01:10+00:00,controlled_sdn_lab_v2,exp_02_000001,s3,a1,web,ICMP,ICMP,10,6976,2146990,57,697.6,214699.08817411447,5.7,307.76818832298517,0,0,0,0.0,70,124,17.4,0.7,4,0.2467968788833418,ICMP_FLOOD,VOLUMETRIC,controlled_profile
2026-01-01T00:01:20+00:00,controlled_sdn_lab_v2,exp_02_000002,s2,a2,ssdp,ICMP,ICMP,10,28765,27456433,84,2876.5,2745643.3134898636,8.4,954.5083655448857,0,0,0,0.0,126,100,15.0,0.7,2,0.14502393038782088,ICMP_FLOOD,VOLUMETRIC,controlled_profile
2026-01-01T00:01:30+00:00,controlled_sdn_lab_v2,exp_03_000000,s1,a1,dns,TCP,TCP,10,30097,1495107,525,3009.7,149510.78040144587,52.5,49.67630674201611,22397,3234,0,0.14439433852748135,957,672,72.2,0.8,3,0.28090630527669525,TCP_SYN_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:01:40+00:00,controlled_sdn_lab_v2,exp_03_000001,s3,a2,ssdp,TCP,TCP,10,7574,740084,831,757.4,74008.47746778814,83.1,97.71385987297087,6838,357,0,0.05220824802573852,2343,2021,100.0,0.8,4,0.23612078092257952,TCP_SYN_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:01:50+00:00,controlled_sdn_lab_v2,exp_03_000002,s2,a2,ssdp,TCP,TCP,10,8913,600260,301,891.3,60026.004427721855,30.1,67.34657739001666,7029,811,0,0.11537914354815763,879,207,25.7,0.8,2,0.31604651988755184,TCP_SYN_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:02:00+00:00,controlled_sdn_lab_v2,exp_04_000000,s3,a3,web,TCP,TCP,10,24139,1906758,150,2413.9,190675.88268959077,15.0,78.99079609328919,943,20355,0,21.585365853658537,202,153,20.3,0.75,1,0.18529648426844306,TCP_ACK_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:02:10+00:00,controlled_sdn_lab_v2,exp_04_000001,s3,a1,web,TCP,TCP,10,33178,2017626,454,3317.8,201762.67824914094,45.4,60.812188272090225,384,27865,0,72.56510416666667,1029,917,96.7,0.75,3,0.5689132274874914,TCP_ACK_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:02:20+00:00,controlled_sdn_lab_v2,exp_04_000002,s2,a1,ssdp,TCP,TCP,10,22057,1235600,298,2205.7,123560.09320490737,29.8,56.01853978551361,1024,15578,0,15.212890625,428,631,68.1,0.75,2,0.15428787056772178,TCP_ACK_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:02:30+00:00,controlled_sdn_lab_v2,exp_05_000000,s3,a1,web,TCP,TCP,10,22182,1764918,499,2218.2,176491.8772964146,49.9,79.5653580815141,1415,436,1644,0.30812720848056535,1213,402,45.2,0.75,3,0.5148948715662066,TCP_RST_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:02:40+00:00,controlled_sdn_lab_v2,exp_05_000001,s2,a3,web,TCP,TCP,10,25944,2521081,260,2594.4,252108.13143413677,26.0,97.1739637041847,1194,857,1959,0.7177554438860971,557,172,22.2,0.75,4,0.545838633127457,TCP_RST_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:02:50+00:00,controlled_sdn_lab_v2,exp_05_000002,s4,a4,web,TCP,TCP,10,26655,2495089,385,2665.5,249508.92108687927,38.5,93.60679838187178,856,2118,1501,2.4742990654205608,1113,431,48.1,0.75,2,0.5684065752668896,TCP_RST_FLOOD,PROTOCOL_TRANSPORT,controlled_profile
2026-01-01T00:03:00+00:00,controlled_sdn_lab_v2,exp_06_000000,s2,a1,web,TCP,HTTP,10,7800,9470946,144,780.0,947094.6726831694,14.4,1214.2239393373966,1129,5457,0,4.83348095659876,265,320,37.0,0.7,4,0.5859132130304837,HTTP_FLOOD,APPLICATION_LAYER,controlled_profile
2026-01-01T00:03:10+00:00,controlled_sdn_lab_v2,exp_06_000001,s4,a2,ntp,TCP,HTTP,10,13217,4167715,176,1321.7,416771.550610323,17.6,315.3299164790217,1757,9765,0,5.557768924302789,486,99,14.9,0.7,4,0.19988782583002881,HTTP_FLOOD,APPLICATION_LAYER,controlled_profile
2026-01-01T00:03:20+00:00,controlled_sdn_lab_v2,exp_06_000002,s3,a4,dns,TCP,HTTP,10,21403,23819022,135,2140.3,2381902.2099384773,13.5,1112.8824043070958,2802,18487,0,6.597787294789436,306,158,20.8,0.7,3,0.577811628523485,HTTP_FLOOD,APPLICATION_LAYER,controlled_profile
2026-01-01T00:03:30+00:00,controlled_sdn_lab_v2,exp_07_000000,s3,a3,dns,TCP,HTTP,10,443,26004,755,44.3,2600.446413943904,75.5,58.70082198518971,200,15,0,0.075,2581,459,50.9,0.55,1,0.5665116108001056,SLOW_HTTP,APPLICATION_LAYER,controlled_profile
2026-01-01T00:03:40+00:00,controlled_sdn_lab_v2,exp_07_000001,s3,a2,web,TCP,HTTP,10,979,317849,217,97.9,31784.9195886262,21.7,324.6672072382656,238,204,0,0.8571428571428571,515,445,49.5,0.55,4,0.5338694768880056,SLOW_HTTP,APPLICATION_LAYER,controlled_profile
2026-01-01T00:03:50+00:00,controlled_sdn_lab_v2,exp_07_000002,s3,a3,web,TCP,HTTP,10,752,136085,625,75.2,13608.524022477048,62.5,180.96441519251394,346,164,0,0.47398843930635837,1042,811,86.1,0.55,4,0.5082843817119552,SLOW_HTTP,APPLICATION_LAYER,controlled_profile
2026-01-01T00:04:00+00:00,controlled_sdn_lab_v2,exp_08_000000,s3,a2,dns,UDP,DNS,10,10237,11425552,39,1023.7,1142555.2191112358,3.9,1116.1035646295163,0,0,0,0.0,56,82,13.2,0.85,4,0.1827658613676391,DNS_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
2026-01-01T00:04:10+00:00,controlled_sdn_lab_v2,exp_08_000001,s4,a1,web,UDP,DNS,10,16831,13142369,22,1683.1,1314236.9283086113,2.2,780.8430445657485,0,0,0,0.0,27,9,5.9,0.85,2,0.44035726339975323,DNS_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
2026-01-01T00:04:20+00:00,controlled_sdn_lab_v2,exp_08_000002,s3,a3,web,UDP,DNS,10,21318,22451443,133,2131.8,2245144.322458793,13.3,1053.168365915561,0,0,0,0.0,204,288,33.8,0.85,4,0.22469378791610592,DNS_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
2026-01-01T00:04:30+00:00,controlled_sdn_lab_v2,exp_09_000000,s1,a4,web,UDP,NTP,10,28322,15137482,68,2832.2,1513748.2629212523,6.8,534.4778839493158,0,0,0,0.0,210,98,14.8,0.85,1,0.5624209345090311,NTP_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
2026-01-01T00:04:40+00:00,controlled_sdn_lab_v2,exp_09_000001,s1,a3,ssdp,UDP,NTP,10,11358,12855634,147,1135.8,1285563.4086110913,14.7,1131.857200749332,0,0,0,0.0,388,303,35.3,0.85,3,0.16727610420657354,NTP_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
2026-01-01T00:04:50+00:00,controlled_sdn_lab_v2,exp_09_000002,s4,a3,ntp,UDP,NTP,10,27432,30183443,80,2743.2,3018344.3340299004,8.0,1100.3005008857904,0,0,0,0.0,139,91,14.1,0.85,1,0.3389386370118729,NTP_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
2026-01-01T00:05:00+00:00,controlled_sdn_lab_v2,exp_10_000000,s1,a2,dns,UDP,SSDP,10,19311,15531122,78,1931.1,1553112.262164656,7.8,804.2629911266408,0,0,0,0.0,214,79,12.9,0.8,1,0.5744289633576702,SSDP_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
2026-01-01T00:05:10+00:00,controlled_sdn_lab_v2,exp_10_000001,s2,a2,ntp,UDP,SSDP,10,37042,28196271,105,3704.2,2819627.133136205,10.5,761.1973255051577,0,0,0,0.0,318,227,27.7,0.8,3,0.4164588146338104,SSDP_AMPLIFICATION,REFLECTION_AMPLIFICATION,controlled_profile
